site__ YYMMMDD yyyy.yyyy _MJD_______ time____ __east(m)_______ _north(m)________ ____up(m)_______ reflat(deg)_____ reflon(deg)_____ Height(m)_______
950203 96JUL10 1996.5218 50274.47880 12:00:00 -3.9359668777E+06 3.1865312096E+06 3.8645628151E+06 3.7533693238E+01 1.4100661135E+02 5.3547372470E+01
950203 96JUL11 1996.5245 50275.46699 12:00:00 -3.9359668671E+06 3.1865311945E+06 3.8645628019E+06 3.7533693242E+01 1.4100661141E+02 5.3525263006E+01
950203 96JUL12 1996.5273 50276.49179 12:00:00 -3.9359668550E+06 3.1865311966E+06 3.8645628020E+06 3.7533693287E+01 1.4100661131E+02 5.3518914180E+01
950203 96JUL13 1996.5300 50277.47999 12:00:00 -3.9359668569E+06 3.1865311828E+06 3.8645628006E+06 3.7533693316E+01 1.4100661144E+02 5.3512346407E+01
950203 96JUL14 1996.5327 50278.46819 12:00:00 -3.9359668624E+06 3.1865311963E+06 3.8645628032E+06 3.7533693265E+01 1.4100661136E+02 5.3524056407E+01
950203 96JUL15 1996.5355 50279.49300 12:00:00 -3.9359668514E+06 3.1865311826E+06 3.8645627868E+06 3.7533693242E+01 1.4100661140E+02 5.3500449449E+01
950203 96JUL16 1996.5382 50280.48119 12:00:00 -3.9359668662E+06 3.1865311876E+06 3.8645628017E+06 3.7533693268E+01 1.4100661147E+02 5.3521143521E+01
950203 96JUL17 1996.5409 50281.46940 12:00:00 -3.9359668675E+06 3.1865312224E+06 3.8645628196E+06 3.7533693270E+01 1.4100661117E+02 5.3550214328E+01
950203 96JUL18 1996.5437 50282.49419 12:00:00 -3.9359668623E+06 3.1865311802E+06 3.8645627852E+06 3.7533693192E+01 1.4100661150E+02 5.3504995143E+01
950203 96JUL19 1996.5464 50283.48240 12:00:00 -3.9359668601E+06 3.1865311904E+06 3.8645627894E+06 3.7533693196E+01 1.4100661140E+02 5.3511287538E+01
950203 96JUL20 1996.5491 50284.47059 12:00:00 -3.9359668633E+06 3.1865311934E+06 3.8645628012E+06 3.7533693257E+01 1.4100661139E+02 5.3521945614E+01
950203 96JUL21 1996.5519 50285.49539 12:00:00 -3.9359668514E+06 3.1865311886E+06 3.8645627817E+06 3.7533693185E+01 1.4100661135E+02 5.3500336248E+01
950203 96JUL22 1996.5546 50286.48360 12:00:00 -3.9359668630E+06 3.1865312038E+06 3.8645628090E+06 3.7533693278E+01 1.4100661130E+02 5.3531702054E+01
950203 96JUL23 1996.5573 50287.47179 12:00:00 -3.9359668605E+06 3.1865312134E+06 3.8645628065E+06 3.7533693237E+01 1.4100661120E+02 5.3533428336E+01
950203 96JUL24 1996.5601 50288.49660 12:00:00 -3.9359668585E+06 3.1865311976E+06 3.8645628205E+06 3.7533693400E+01 1.4100661132E+02 5.3532841030E+01
950203 96JUL25 1996.5628 50289.48479 12:00:00 -3.9359668564E+06 3.1865312106E+06 3.8645628120E+06 3.7533693304E+01 1.4100661119E+02 5.3532854998E+01
950203 96JUL26 1996.5655 50290.47300 12:00:00 -3.9359668601E+06 3.1865312119E+06 3.8645628115E+06 3.7533693280E+01 1.4100661121E+02 5.3535479477E+01
950203 96JUL27 1996.5683 50291.49779 12:00:00 -3.9359668523E+06 3.1865312069E+06 3.8645627968E+06 3.7533693225E+01 1.4100661120E+02 5.3519221565E+01
950203 96JUL28 1996.5710 50292.48600 12:00:00 -3.9359668555E+06 3.1865311996E+06 3.8645627964E+06 3.7533693234E+01 1.4100661128E+02 5.3517307600E+01
950203 96JUL29 1996.5737 50293.47419 12:00:00 -3.9359668633E+06 3.1865312032E+06 3.8645628004E+06 3.7533693217E+01 1.4100661131E+02 5.3526348207E+01
950203 96JUL30 1996.5765 50294.49899 12:00:00 -3.9359668627E+06 3.1865312090E+06 3.8645628103E+06 3.7533693270E+01 1.4100661125E+02 5.3534903831E+01
950203 96JUL31 1996.5792 50295.48720 12:00:00 -3.9359668718E+06 3.1865312065E+06 3.8645628026E+06 3.7533693185E+01 1.4100661134E+02 5.3534573941E+01
950203 96AUG01 1996.5819 50296.47539 12:00:00 -3.9359668415E+06 3.1865311979E+06 3.8645627898E+06 3.7533693253E+01 1.4100661120E+02 5.3503809807E+01
950203 96AUG02 1996.5846 50297.46360 12:00:00 -3.9359668668E+06 3.1865312085E+06 3.8645628046E+06 3.7533693214E+01 1.4100661129E+02 5.3533708698E+01
950203 96AUG03 1996.5874 50298.48839 12:00:00 -3.9359668520E+06 3.1865311970E+06 3.8645627943E+06 3.7533693243E+01 1.4100661128E+02 5.3512573724E+01
950203 96AUG04 1996.5901 50299.47660 12:00:00 -3.9359668539E+06 3.1865311948E+06 3.8645628062E+06 3.7533693328E+01 1.4100661131E+02 5.3519896816E+01
950203 96AUG05 1996.5928 50300.46479 12:00:00 -3.9359668566E+06 3.1865311866E+06 3.8645628023E+06 3.7533693316E+01 1.4100661141E+02 5.3515093308E+01
950203 96AUG06 1996.5956 50301.48959 12:00:00 -3.9359668180E+06 3.1865312176E+06 3.8645627932E+06 3.7533693309E+01 1.4100661086E+02 5.3501227259E+01
950203 96AUG07 1996.5983 50302.47779 12:00:00 -3.9359668506E+06 3.1865311848E+06 3.8645628026E+06 3.7533693350E+01 1.4100661138E+02 5.3510679934E+01
950203 96AUG08 1996.6010 50303.46600 12:00:00 -3.9359668500E+06 3.1865311780E+06 3.8645628056E+06 3.7533693398E+01 1.4100661143E+02 5.3508744776E+01
950203 96AUG09 1996.6038 50304.49080 12:00:00 -3.9359668681E+06 3.1865312072E+06 3.8645628064E+06 3.7533693226E+01 1.4100661131E+02 5.3534957869E+01
950203 96AUG10 1996.6065 50305.47899 12:00:00 -3.9359668456E+06 3.1865311924E+06 3.8645627949E+06 3.7533693291E+01 1.4100661128E+02 5.3506699450E+01
950203 96AUG11 1996.6092 50306.46720 12:00:00 -3.9359668415E+06 3.1865311859E+06 3.8645627959E+06 3.7533693338E+01 1.4100661130E+02 5.3501538374E+01
950203 96AUG12 1996.6120 50307.49199 12:00:00 -3.9359668498E+06 3.1865311950E+06 3.8645627987E+06 3.7533693291E+01 1.4100661128E+02 5.3512900446E+01
